,WPname,FPLlat,FPLlon,FPLalt,FPLvel,FPLturn,FPLwpt
0,Waypoint1,41.26524176,1.97890135,26.0,9.0,75.0,CurvaturePassed
1,Waypoint2,41.263882981706296,1.9789004926228129,26.0,10.0,75.0,CurvaturePassed
2,Waypoint3,41.26388534589962,1.9716271998879642,26.0,10.0,9.0,CurvaturePassed
3,Waypoint4,41.2640652101972,1.9716272933454593,26.0,6.0,9.0,CurvaturePassed
4,Waypoint5,41.26441256341556,1.9716274738311765,16.0,0.0,0.2,LineStop
5,Hover10s,41.26441256341556,1.9716274738311765,16.0,8.0,0.2,LineStop
6,Waypoint6,41.26441256341556,1.9716274738311765,26.0,8.0,0.2,CurvaturePassed
7,Waypoint7,41.2640652101972,1.9716272933454593,36.0,10.0,19.0,CurvaturePassed
8,Waypoint8,41.26343568515565,1.9716269662442647,36.0,10.0,34.0,CurvaturePassed
9,Waypoint9,41.26343327111682,1.9790397948980887,36.0,10.0,34.0,CurvaturePassed
10,Waypoint10,41.26406279615281,1.9790401934607493,36.0,8.0,34.0,CurvaturePassed
11,Waypoint11,41.26524192,1.97904094,21.0,0.0,65.0,CurvaturePassed
