,WPname,FPLlat,FPLlon,FPLalt,FPLvel,FPLturn,FPLwpt
0,Waypoint1,41.26502089,1.99106893,27.0,8.0,63.0,CurvaturePassed
1,Waypoint2,41.263878003281356,1.9910679958942628,27.0,10.0,63.0,CurvaturePassed
2,Waypoint3,41.26388442491688,1.9746312400872192,27.0,10.0,9.0,CurvaturePassed
3,Waypoint4,41.264064289214176,1.974631341818991,27.0,6.0,9.0,CurvaturePassed
4,Waypoint5,41.26442869258624,1.9746315479278564,17.0,0.0,0.2,LineStop
5,Hover10s,41.26442869258624,1.9746315479278564,17.0,2.0,0.2,LineStop
6,Waypoint6,41.26442869258624,1.9746315479278564,27.0,2.0,0.2,CurvaturePassed
7,Waypoint7,41.264064289214176,1.974631341818991,77.0,10.0,20.0,CurvaturePassed
8,Waypoint8,41.263344832024956,1.9746309348926165,77.0,10.0,39.0,CurvaturePassed
9,Waypoint9,41.26333833847559,1.9912231208167839,77.0,10.0,39.0,CurvaturePassed
10,Waypoint10,41.26405779562296,1.991223710545844,77.0,3.0,39.0,CurvaturePassed
11,Waypoint11,41.26502089,1.9912245,22.0,0.0,53.0,CurvaturePassed
