,WPname,FPLlat,FPLlon,FPLalt,FPLvel,FPLturn,FPLwpt
0,Waypoint1,41.26500991,1.96874383,26.0,5.0,62.0,CurvaturePassed
1,Waypoint2,41.26388615658965,1.9687432957198792,26.0,10.0,62.0,CurvaturePassed
2,Waypoint3,41.263886708258674,1.9666168495021439,26.0,5.0,9.0,CurvaturePassed
3,Waypoint4,41.26406657255562,1.9666169291592377,26.0,3.0,9.0,CurvaturePassed
4,Waypoint5,41.26446901549553,1.9666171073913574,16.0,0.0,0.2,LineStop
5,Hover10s,41.26446901549553,1.9666171073913574,16.0,2.0,0.2,LineStop
6,Waypoint6,41.26446901549553,1.9666171073913574,26.0,2.0,0.2,CurvaturePassed
7,Waypoint7,41.26406657255562,1.9666169291592377,76.0,5.0,22.0,CurvaturePassed
8,Waypoint8,41.263347115367786,1.9666166105298704,76.0,10.0,39.0,CurvaturePassed
9,Waypoint9,41.2633465268062,1.9688800655925573,76.0,5.0,39.0,CurvaturePassed
10,Waypoint10,41.26406598399585,1.9688804091593055,76.0,3.0,39.0,CurvaturePassed
11,Waypoint11,41.26501007,1.96888086,21.0,0.0,52.0,CurvaturePassed
