,WPname,FPLlat,FPLlon,FPLalt,FPLvel,FPLturn,FPLwpt
0,Waypoint1,41.265035,1.99640653,27.0,3.0,54.0,CurvaturePassed
1,Waypoint2,41.26405527947164,1.996405649170509,77.0,5.0,39.0,CurvaturePassed
2,Waypoint3,41.26333582234972,1.9964050023506197,77.0,10.0,39.0,CurvaturePassed
3,Waypoint4,41.2633342217288,1.9994756505501845,77.0,5.0,39.0,CurvaturePassed
4,Waypoint5,41.26405367883288,1.9994763312005908,77.0,2.0,30.0,CurvaturePassed
5,Waypoint6,41.264602080919474,1.9994768500328066,17.0,0.0,0.2,LineStop
6,Hover10s,41.264602080919474,1.9994768500328066,17.0,3.0,0.2,LineStop
7,Waypoint7,41.264602080919474,1.9994768500328066,27.0,3.0,0.2,CurvaturePassed
8,Waypoint8,41.26405367883288,1.9994763312005908,67.0,5.0,14.0,CurvaturePassed
9,Waypoint9,41.26378388241886,1.9994760759548438,67.0,10.0,14.0,CurvaturePassed
10,Waypoint10,41.263785410546824,1.9965479636740626,67.0,5.0,14.0,CurvaturePassed
11,Waypoint11,41.26405520696725,1.9965482068221247,67.0,3.0,14.0,CurvaturePassed
12,Waypoint12,41.26503516,1.99654909,22.0,0.0,54.0,CurvaturePassed
