,WPname,FPLlat,FPLlon,FPLalt,FPLvel,FPLturn,FPLwpt
0,Waypoint1,41.26502089,1.99106893,27.0,3.0,53.0,CurvaturePassed
1,Waypoint2,41.26405786756837,1.9910681428990675,37.0,5.0,34.0,CurvaturePassed
2,Waypoint3,41.263428342563834,1.9910676283852404,37.0,10.0,34.0,CurvaturePassed
3,Waypoint4,41.26342695432972,1.9939935755262204,37.0,5.0,34.0,CurvaturePassed
4,Waypoint5,41.264056479322406,1.9939941182468857,37.0,3.0,19.0,CurvaturePassed
5,Waypoint6,41.26440046653493,1.993994414806366,17.0,0.0,0.2,LineStop
6,Hover10s,41.26440046653493,1.993994414806366,17.0,2.0,0.2,LineStop
7,Waypoint7,41.26440046653493,1.993994414806366,27.0,2.0,0.2,CurvaturePassed
8,Waypoint8,41.264056479322406,1.9939941182468857,67.0,5.0,14.0,CurvaturePassed
9,Waypoint9,41.26378668289698,1.9939938856511408,67.0,10.0,14.0,CurvaturePassed
10,Waypoint10,41.26378799919271,1.991223489396152,67.0,5.0,14.0,CurvaturePassed
11,Waypoint11,41.26405779562296,1.991223710545844,67.0,3.0,14.0,CurvaturePassed
12,Waypoint12,41.26502089,1.9912245,22.0,0.0,53.0,CurvaturePassed
