,WPname,FPLlat,FPLlon,FPLalt,FPLvel,FPLturn,FPLwpt
0,Waypoint1,41.26524176,1.97890135,26.0,3.0,65.0,CurvaturePassed
1,Waypoint2,41.26406284600235,1.9789006061137058,76.0,5.0,39.0,CurvaturePassed
2,Waypoint3,41.26334338881814,1.9789001521516605,76.0,10.0,39.0,CurvaturePassed
3,Waypoint4,41.263342076185914,1.9824306949841428,76.0,5.0,39.0,CurvaturePassed
4,Waypoint5,41.264061533362984,1.9824311878435832,76.0,1.0,18.0,CurvaturePassed
5,Waypoint6,41.26438836965208,1.982431411743164,16.0,0.0,0.2,LineStop
6,Hover10s,41.26438836965208,1.982431411743164,16.0,5.0,0.2,LineStop
7,Waypoint7,41.26438836965208,1.982431411743164,26.0,5.0,0.2,CurvaturePassed
8,Waypoint8,41.263881669068724,1.9824310646281569,26.0,10.0,28.0,CurvaturePassed
9,Waypoint9,41.263882931856806,1.9790400795853653,26.0,5.0,9.0,CurvaturePassed
10,Waypoint10,41.26406279615281,1.9790401934607493,26.0,3.0,9.0,CurvaturePassed
11,Waypoint11,41.26524192,1.97904094,21.0,0.0,65.0,CurvaturePassed
