,lat,lon,alt,secs
346,41.2650103,1.968881,26.75,0.0
347,41.2650105,1.9688807,26.880000000000003,1.0
348,41.265011,1.9688802,26.98,1.0
349,41.2650115,1.9688796,27.060000000000002,1.0
350,41.2650119,1.9688787,27.130000000000003,1.0
351,41.2650122,1.9688774,27.17,1.0
352,41.2650124,1.9688757,27.19,2.0
353,41.2650125,1.9688737,27.19,2.0
354,41.2650126,1.9688715,27.18,2.0
355,41.2650125,1.968869,27.18,2.0
356,41.2650122,1.9688662,27.150000000000002,2.0
357,41.2650119,1.9688625,27.17,3.0
358,41.2650115,1.9688584,27.200000000000003,3.0
359,41.265011,1.9688539,27.21,3.0
360,41.2650104,1.9688489,27.23,3.0
361,41.26501,1.9688434,27.25,3.0
362,41.2650096,1.9688375,27.27,4.0
363,41.2650091,1.9688314,27.27,4.0
364,41.2650088,1.9688249,27.26,4.0
365,41.2650085,1.9688181,27.240000000000002,4.0
366,41.2650082,1.9688111,27.18,4.0
367,41.2650079,1.9688039,27.150000000000002,5.0
368,41.265008,1.968782,27.080000000000002,5.0
369,41.2650079,1.9687695,27.1,6.0
370,41.2650078,1.9687644,27.12,6.0
371,41.2650074,1.9687602,27.130000000000003,6.0
372,41.2650067,1.968757,27.150000000000002,6.0
373,41.2650055,1.9687546,27.16,6.0
374,41.265004,1.9687528,27.16,7.0
375,41.2650019,1.9687516,27.16,7.0
376,41.2649997,1.9687508,27.19,7.0
377,41.2649973,1.9687506,27.21,7.0
378,41.2649946,1.9687505,27.23,7.0
379,41.2649918,1.9687506,27.25,8.0
380,41.2649886,1.9687509,27.25,8.0
381,41.2649851,1.9687514,27.25,8.0
382,41.2649814,1.9687518,27.25,8.0
383,41.2649775,1.9687523,27.290000000000003,8.0
384,41.2649733,1.9687528,27.330000000000002,9.0
385,41.2649688,1.9687532,27.380000000000003,9.0
386,41.2649642,1.9687537,27.41,9.0
387,41.2649592,1.9687541,27.450000000000003,9.0
388,41.2649538,1.9687544,27.490000000000002,9.0
389,41.2649483,1.9687546,27.540000000000003,10.0
390,41.2649363,1.9687544,27.6,10.0
391,41.2649298,1.9687539,27.64,10.0
392,41.2649231,1.9687533,27.69,10.0
393,41.264916,1.9687526,27.73,11.0
394,41.2649088,1.9687519,27.77,11.0
395,41.2649017,1.9687513,27.790000000000003,11.0
396,41.2648945,1.9687505,27.82,11.0
397,41.2648873,1.9687498,27.85,11.0
398,41.26488,1.9687491,27.87,12.0
399,41.2648727,1.9687484,27.880000000000003,12.0
400,41.2648652,1.9687477,27.91,12.0
