,WPname,FPLlat,FPLlon,FPLalt,FPLvel,FPLturn,FPLwpt
0,Waypoint1,41.26524176,1.97890135,26.0,5.0,75.0,CurvaturePassed
1,Waypoint2,41.263882981706296,1.9789004926228129,26.0,10.0,75.0,CurvaturePassed
2,Waypoint3,41.263886708258674,1.9666168495021439,26.0,5.0,9.0,CurvaturePassed
3,Waypoint4,41.26406657255562,1.9666169291592377,26.0,3.0,9.0,CurvaturePassed
4,Waypoint5,41.26446901549553,1.9666171073913574,16.0,0.0,0.2,LineStop
5,Hover10s,41.26446901549553,1.9666171073913574,16.0,2.0,0.2,LineStop
6,Waypoint6,41.26446901549553,1.9666171073913574,26.0,2.0,0.2,CurvaturePassed
7,Waypoint7,41.26406657255562,1.9666169291592377,76.0,5.0,22.0,CurvaturePassed
8,Waypoint8,41.263347115367786,1.9666166105298704,76.0,10.0,39.0,CurvaturePassed
9,Waypoint9,41.26334333896882,1.979039737960842,76.0,5.0,39.0,CurvaturePassed
10,Waypoint10,41.26406279615281,1.9790401934607493,76.0,3.0,39.0,CurvaturePassed
11,Waypoint11,41.26524192,1.97904094,21.0,0.0,65.0,CurvaturePassed
